,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,annealed_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
921,6321,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,21,-7554.6005859375,27.7598972321,7556.0234375,7526.8408203125,29.1836681366,0.6319,0.6314000000000001,0.5208,0.5144000000000001,0.64188,0.22668000000000002,0.0378661976,0.088347878,0.037389284200000004,0.017400000000000002,0.7923726439000001,0.7046651832,0.6868672714
922,6322,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,22,-7555.0205078125,28.0825214386,7556.4565429688,7526.9404296875,29.5231609344,0.6417,0.633,0.5526,0.543,0.6521,0.24104000000000003,0.042121712900000004,0.1036139613,0.0357716726,0.019200000000000002,0.7435628857000001,0.7058396025,0.6885647530000001
923,6323,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,23,-7553.1401367188,28.2957782745,7554.603515625,7524.853515625,29.7494888306,0.6524,0.6478,0.5631,0.5596,0.6442800000000001,0.22068000000000002,0.0389552271,0.0741358975,0.0424824575,0.00876,0.7654982933000001,0.7078265372,0.690623019
924,6324,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,24,-7554.0483398438,28.2917919159,7555.4907226562,7525.7578125,29.7298545837,0.6378,0.6284000000000001,0.5525,0.556,0.64858,0.231,0.0424518236,0.0836172081,0.042817971100000005,0.010480000000000001,0.7699471618,0.7079932372000001,0.6909793132000001
925,6325,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,25,-7552.76953125,28.1881561279,7554.1943359375,7524.578125,29.6157970428,0.6599,0.6586000000000001,0.5727,0.5668000000000001,0.6572800000000001,0.25252,0.0634357821,0.1308887038,0.0909580802,0.0328,0.6941769907,0.7076801034,0.6907831286
926,6326,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,26,-7555.0048828125,28.0776538849,7556.4321289062,7526.9243164062,29.5111637115,0.6307,0.6086,0.5309,0.5276000000000001,0.64412,0.23748000000000002,0.036376638600000004,0.1018366088,0.022827061200000002,0.0068000000000000005,0.6989826426,0.7050217148,0.6875125324
927,6327,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,27,-7550.9721679688,27.9215106964,7552.396484375,7523.0454101562,29.348033905,0.6433,0.6382,0.5061,0.5094000000000001,0.64036,0.22528,0.0407482325,0.0922021699,0.0357561785,0.025,0.7514925752,0.7077626059000001,0.6905302436
928,6328,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,28,-7548.3984375,27.8754768372,7549.8251953125,7520.5244140625,29.3047962189,0.6693,0.6678000000000001,0.5767,0.5710000000000001,0.65136,0.25144,0.0596494199,0.1256531226,0.0651820093,0.0304,0.7282849924,0.7083862417,0.6906791029
929,6329,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,29,-7551.2802734375,27.9448375702,7552.708984375,7523.3349609375,29.3698940277,0.6885,0.6880000000000001,0.591,0.5836,0.6406200000000001,0.23708,0.0574352679,0.129505636,0.06375880810000001,0.03088,0.7269582397000001,0.7081612019,0.6908671489
930,6330,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,30,-7549.4833984375,27.8599529266,7550.9262695312,7521.6240234375,29.299911499,0.6684,0.6742,0.5760000000000001,0.5714,0.6496000000000001,0.24568,0.0705884892,0.1250235114,0.0873089721,0.027680000000000003,0.7253122666,0.7084769029,0.6910759511
