,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,beta_tc_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
380,380,'dsprites_full','factor_vae',,20.0,,,,,30,,18.9008255005,75.0642242432,50.1960029602,24.8682117462,0.8582000000000001,0.86,0.7526,0.7606,0.7630600000000001,0.45812,0.23097034930000002,0.2674937848,0.2004236248,0.07564000000000001,0.6976758476,0.7715746513,0.7581308777
381,381,'dsprites_full','factor_vae',,20.0,,,,,31,,18.5704097748,80.1812591553,52.532951355,27.6482372284,0.8578,0.857,0.7539,0.7526,0.7453200000000001,0.43036,0.23018105830000002,0.2663238072,0.18115249360000002,0.06676,0.8180519476,0.7735528028,0.7605093510000001
382,382,'dsprites_full','factor_vae',,20.0,,,,,32,,18.9394836426,80.1071166992,51.2454223633,28.8616847992,0.8534,0.8572000000000001,0.8184,0.8272,0.7688200000000001,0.46412000000000003,0.3138923292,0.3287904682,0.1976887994,0.07052,0.8243246602000001,0.7817494296,0.7716529208
383,383,'dsprites_full','factor_vae',,20.0,,,,,33,,18.6325912476,79.9477005005,52.427898407,27.5198554993,0.8528,0.8518,0.6496000000000001,0.6528,0.7437600000000001,0.4202,0.21704785000000001,0.2601388772,0.1363492446,0.07564000000000001,0.8485804037,0.7614648646000001,0.7496090666
384,384,'dsprites_full','factor_vae',,20.0,,,,,34,,18.7178401947,76.1639709473,51.1173019409,25.0465621948,0.8564,0.8618,0.7966000000000001,0.7932,0.7508400000000001,0.42332000000000003,0.2396641083,0.2583956685,0.1802543393,0.065,0.8077820480000001,0.7698459024000001,0.7582374811
385,385,'dsprites_full','factor_vae',,20.0,,,,,35,,18.2742214203,76.5134887695,50.9928627014,25.5205764771,0.8583000000000001,0.8592000000000001,0.7626000000000001,0.764,0.74816,0.42928000000000005,0.2272329768,0.26294882140000003,0.1570570962,0.07824,0.7659806605,0.7643040560000001,0.7503443137
386,386,'dsprites_full','factor_vae',,20.0,,,,,36,,18.5960769653,79.4738540649,51.7843360901,27.6894168854,0.8492000000000001,0.847,0.7068,0.7038,0.7372000000000001,0.40972000000000003,0.18876903620000002,0.19616217960000001,0.09451415,0.0524,0.815688772,0.7658995056,0.7568714312
387,387,'dsprites_full','factor_vae',,20.0,,,,,37,,19.0016002655,80.0927124023,51.8807106018,28.2120933533,0.8637,0.853,0.7462000000000001,0.7472000000000001,0.75348,0.44372000000000006,0.2650803814,0.2817103326,0.14438175920000001,0.06936,0.84557961,0.7842513102,0.7737643896
388,388,'dsprites_full','factor_vae',,20.0,,,,,38,,18.99477005,79.9884872437,51.0897102356,28.898815155,0.7496,0.752,0.6353,0.6284000000000001,0.7528800000000001,0.43148000000000003,0.2299755441,0.2463989127,0.1315663792,0.07780000000000001,0.7715779886,0.7591714857,0.7477990068
389,389,'dsprites_full','factor_vae',,20.0,,,,,39,,18.5182933807,78.0222854614,50.8147506714,27.2075901031,0.8621000000000001,0.8618,0.796,0.7866000000000001,0.77668,0.50592,0.3176487635,0.3435018869,0.2335339189,0.06836,0.8434737743,0.7814717263000001,0.7711037387
390,390,'dsprites_full','factor_vae',,20.0,,,,,40,,18.7032527924,74.054107666,48.4287872314,25.6253261566,0.8695,0.873,0.8439000000000001,0.8458,0.78624,0.5137200000000001,0.3750649021,0.3715542388,0.2101255116,0.07740000000000001,0.8415593173,0.7810645266,0.7714908089
391,391,'dsprites_full','factor_vae',,20.0,,,,,41,,17.9199829102,74.9390411377,49.9509811401,24.9879703522,0.8606,0.8624,0.7996000000000001,0.8048000000000001,0.7761,0.4746,0.29698045840000004,0.3180462048,0.1613115061,0.07248,0.7748762907000001,0.7810552209,0.7705479849
392,392,'dsprites_full','factor_vae',,20.0,,,,,42,,18.7585811615,74.9374160767,49.5721473694,25.365234375,0.8573000000000001,0.86,0.7725000000000001,0.7774000000000001,0.7502200000000001,0.43788000000000005,0.2648201214,0.2978625092,0.204645446,0.07748000000000001,0.808112782,0.7687518941,0.7566078375
393,393,'dsprites_full','factor_vae',,20.0,,,,,43,,18.3983383179,79.9501266479,51.8379364014,28.1121902466,0.8584,0.858,0.7686000000000001,0.7606,0.7759400000000001,0.49076000000000003,0.3286921452,0.3533309685,0.2320585124,0.06464,0.7933469821,0.7807540881,0.7716003326
394,394,'dsprites_full','factor_vae',,20.0,,,,,44,,18.6285228729,77.6530456543,50.9734687805,26.6796951294,0.731,0.7194,0.5936,0.5996,0.7413200000000001,0.421,0.20159183160000002,0.23670087850000002,0.1164432928,0.060520000000000004,0.7620158626,0.7550781822,0.74333914
395,395,'dsprites_full','factor_vae',,20.0,,,,,45,,18.2838668823,74.8548278809,48.5161743164,26.338602066,0.8597,0.858,0.6589,0.661,0.76348,0.45292000000000004,0.2588497999,0.27837340320000004,0.1033219615,0.06652000000000001,0.7679581537,0.7595392486,0.7508230865000001
396,396,'dsprites_full','factor_vae',,20.0,,,,,46,,18.8310546875,78.5244903564,52.0896034241,26.4348716736,0.8568,0.8582000000000001,0.7111000000000001,0.7132000000000001,0.74892,0.43596,0.2173118714,0.25613677830000003,0.1717242732,0.07088000000000001,0.7603780616,0.7654107057,0.7526547939
397,397,'dsprites_full','factor_vae',,20.0,,,,,47,,18.5223522186,78.7117156982,51.0872077942,27.624458313,0.8541000000000001,0.8604,0.7296,0.7312000000000001,0.7538400000000001,0.43564,0.22680578980000002,0.2550455182,0.1828211572,0.07584,0.8188719874,0.7755316429,0.7664503541000001
398,398,'dsprites_full','factor_vae',,20.0,,,,,48,,18.8439445496,80.7124862671,51.8724403381,28.8399295807,0.8569,0.8688,0.7871,0.7896000000000001,0.7506600000000001,0.45784,0.2704328002,0.2871310552,0.1978410689,0.06992000000000001,0.8021859146,0.7822082020000001,0.7718836281
399,399,'dsprites_full','factor_vae',,20.0,,,,,49,,18.5846824646,77.8098754883,50.7290000916,27.0808391571,0.8588,0.8628,0.7778,0.776,0.7591800000000001,0.46296000000000004,0.3037138696,0.33156423230000004,0.22893417970000002,0.0722,0.8277885006,0.7803528046,0.7689884809
400,400,'dsprites_full','factor_vae',,30.0,,,,,0,,18.1166038513,79.0689163208,52.94115448,26.1277713776,0.8558,0.8596,0.7512000000000001,0.7502000000000001,0.7582200000000001,0.47256000000000004,0.2947351246,0.3213311373,0.2281148094,0.0664,0.7570464617,0.7767202320000001,0.7644637194
401,401,'dsprites_full','factor_vae',,30.0,,,,,1,,18.8285617828,81.9632492065,52.190322876,29.7727947235,0.8657,0.8714000000000001,0.7435,0.7398,0.7537600000000001,0.43652,0.2519657273,0.2643519456,0.1403376285,0.06848,0.7805788744000001,0.7790227674,0.7659317087
402,402,'dsprites_full','factor_vae',,30.0,,,,,2,,18.4919300079,79.8132019043,53.7038154602,26.1093921661,0.8213,0.8250000000000001,0.6151,0.621,0.72606,0.37904000000000004,0.14450528610000002,0.1699961441,0.09658343800000001,0.059680000000000004,0.766023934,0.7465812061,0.7346567156
403,403,'dsprites_full','factor_vae',,30.0,,,,,3,,18.8380680084,73.2085952759,49.4738998413,23.7347564697,0.8774000000000001,0.8866,0.7313000000000001,0.7256,0.7717600000000001,0.46816,0.23634356450000002,0.2696456432,0.1699454609,0.07308,0.8192732445,0.7783200010000001,0.7689656311
404,404,'dsprites_full','factor_vae',,30.0,,,,,4,,17.668384552,76.4291381836,52.0284538269,24.4007434845,0.867,0.8698,0.8272,0.8302,0.8011,0.5591200000000001,0.4124464162,0.4129239364,0.2324198542,0.07680000000000001,0.7757680706000001,0.7834406304,0.7705602965
405,405,'dsprites_full','factor_vae',,30.0,,,,,5,,18.4725780487,82.2201385498,54.203994751,28.0161819458,0.8501000000000001,0.854,0.7217,0.72,0.7451800000000001,0.40812000000000004,0.2204521283,0.2470640081,0.1629184679,0.0816,0.7957538039000001,0.7648309907,0.7530945185
406,406,'dsprites_full','factor_vae',,30.0,,,,,6,,18.0343494415,78.6473846436,50.1954612732,28.4519500732,0.8655,0.8626,0.7408,0.7412000000000001,0.76412,0.45544,0.2421696931,0.2664912223,0.1263723782,0.058960000000000005,0.8892856076000001,0.7854202474,0.7756531284
407,407,'dsprites_full','factor_vae',,30.0,,,,,7,,17.8659362793,75.9169158936,51.402671814,24.5141792297,0.8581000000000001,0.8592000000000001,0.7494000000000001,0.7544000000000001,0.7614400000000001,0.46528,0.26021569380000004,0.285408182,0.1820653887,0.07036,0.7088346648,0.7707438647,0.7611560283000001
